image,xmin,ymin,xmax,ymax,label
kieu_1/IMG_20200629_082531.jpg,210,109,429,545,6
kieu_1/IMG_20200629_082531.jpg,428,103,632,540,3
kieu_1/IMG_20200629_082531.jpg,820,93,1052,547,X
kieu_1/IMG_20200629_082531.jpg,1057,86,1257,528,5
kieu_1/IMG_20200629_082531.jpg,215,597,392,1041,2
kieu_1/IMG_20200629_082531.jpg,495,580,712,1027,5
kieu_1/IMG_20200629_082531.jpg,776,588,1005,1030,2
kieu_1/IMG_20200629_082531.jpg,1070,571,1285,1033,4
kieu_1/IMG_20200629_082519.jpg,303,99,522,548,6
kieu_1/IMG_20200629_082519.jpg,519,107,748,553,3
kieu_1/IMG_20200629_082519.jpg,943,89,1190,585,X
kieu_1/IMG_20200629_082519.jpg,1189,97,1435,572,5
kieu_1/IMG_20200629_082519.jpg,239,583,468,1064,5
kieu_1/IMG_20200629_082519.jpg,516,608,779,1082,5
kieu_1/IMG_20200629_082519.jpg,819,611,1079,1112,7
kieu_1/IMG_20200629_082519.jpg,1145,624,1399,1132,6
kieu_1/IMG_20200629_082535.jpg,219,83,422,530,5
kieu_1/IMG_20200629_082535.jpg,424,88,582,544,1
kieu_1/IMG_20200629_082535.jpg,842,93,1069,545,S
kieu_1/IMG_20200629_082535.jpg,1065,90,1305,565,7
kieu_1/IMG_20200629_082535.jpg,213,593,414,1034,3
kieu_1/IMG_20200629_082535.jpg,483,590,715,1038,7
kieu_1/IMG_20200629_082535.jpg,768,590,1018,1064,5
kieu_1/IMG_20200629_082535.jpg,1074,608,1300,1074,4
kieu_1/IMG_20200629_082510.jpg,288,138,548,690,6
kieu_1/IMG_20200629_082510.jpg,566,143,814,689,6
kieu_1/IMG_20200629_082510.jpg,1067,140,1331,698,N
kieu_1/IMG_20200629_082510.jpg,1354,124,1558,693,1
kieu_1/IMG_20200629_082510.jpg,135,753,385,1309,2
kieu_1/IMG_20200629_082510.jpg,453,759,701,1317,9
kieu_1/IMG_20200629_082510.jpg,777,758,1010,1302,6
kieu_1/IMG_20200629_082510.jpg,1155,759,1429,1328,7
